,smart_12_raw,smart_192_raw,smart_194_raw,smart_241_raw,smart_242_raw,0.5*smart_12_raw - 0.99*smart_242_raw,-1.04*smart_192_raw + 0.67*smart_241_raw,target
199,14,7.0,44.0,18503,11344.0,-11223.56,12389.73,0
200,14,7.0,46.0,18550,11404.0,-11282.96,12421.22,0
201,14,7.0,44.0,18576,11432.0,-11310.68,12438.64,0
202,14,7.0,46.0,18630,11496.0,-11374.039999999999,12474.82,0
203,14,7.0,46.0,18652,11526.0,-11403.74,12489.56,0
204,14,7.0,46.0,18698,11583.0,-11460.17,12520.38,0
205,14,7.0,46.0,18721,11612.0,-11488.88,12535.79,0
206,14,7.0,43.0,18767,11669.0,-11545.31,12566.61,0
207,14,7.0,46.0,18825,11703.0,-11578.97,12605.47,0
208,14,7.0,45.0,19013,11786.0,-11661.14,12731.43,0
209,14,7.0,45.0,19036,11812.0,-11686.88,12746.84,0
210,14,7.0,43.0,19082,11865.0,-11739.35,12777.66,0
211,14,7.0,45.0,19108,11897.0,-11771.03,12795.08,0
212,14,7.0,45.0,19155,11957.0,-11830.43,12826.57,0
213,14,7.0,45.0,19178,11988.0,-11861.12,12841.98,0
214,14,7.0,44.0,19223,12042.0,-11914.58,12872.130000000001,0
215,14,7.0,42.0,19246,12070.0,-11942.3,12887.54,0
216,14,7.0,44.0,19297,12127.0,-11998.73,12921.710000000001,0
217,14,7.0,44.0,19317,12152.0,-12023.48,12935.11,0
218,14,7.0,43.0,19364,12210.0,-12080.9,12966.6,0
219,14,7.0,44.0,19388,12240.0,-12110.6,12982.68,0
220,14,7.0,44.0,19437,12307.0,-12176.93,13015.51,0
221,14,7.0,42.0,19463,12337.0,-12206.63,13032.93,0
222,14,7.0,43.0,19508,12401.0,-12269.99,13063.08,0
223,14,7.0,44.0,19536,12433.0,-12301.67,13081.84,0
224,14,7.0,44.0,19581,12486.0,-12354.14,13111.99,0
225,14,7.0,44.0,19605,12516.0,-12383.84,13128.07,0
226,14,7.0,45.0,19651,12579.0,-12446.21,13158.89,0
227,14,7.0,44.0,19675,12609.0,-12475.91,13174.97,0
228,14,7.0,44.0,19719,12667.0,-12533.33,13204.45,0
229,14,7.0,44.0,19742,12699.0,-12565.01,13219.86,0
230,14,7.0,44.0,19796,12758.0,-12623.42,13256.04,0
231,14,7.0,44.0,19834,12791.0,-12656.09,13281.5,0
232,14,7.0,44.0,20033,12879.0,-12743.21,13414.83,0
233,14,7.0,44.0,20074,12911.0,-12774.89,13442.3,0
234,14,7.0,44.0,20121,12973.0,-12836.27,13473.79,0
235,14,7.0,44.0,20169,13029.0,-12891.71,13505.95,0
236,14,7.0,44.0,20190,13061.0,-12923.39,13520.02,0
237,14,7.0,44.0,20232,13114.0,-12975.86,13548.16,0
238,14,7.0,44.0,20254,13140.0,-13001.6,13562.9,0
239,14,7.0,44.0,20301,13203.0,-13063.97,13594.39,0
240,14,7.0,44.0,20320,13225.0,-13085.75,13607.12,0
241,14,7.0,44.0,20359,13273.0,-13133.27,13633.25,0
242,14,7.0,43.0,20379,13295.0,-13155.05,13646.65,0
243,14,7.0,40.0,20430,13349.0,-13208.51,13680.82,0
244,14,7.0,43.0,20455,13373.0,-13232.27,13697.57,0
245,14,7.0,41.0,20498,13425.0,-13283.75,13726.380000000001,0
246,14,7.0,42.0,20520,13451.0,-13309.49,13741.12,0
247,14,7.0,44.0,20625,13516.0,-13373.84,13811.47,0
248,14,7.0,44.0,20723,13558.0,-13415.42,13877.130000000001,0
249,14,7.0,44.0,20816,13635.0,-13491.65,13939.44,0
250,14,7.0,44.0,20837,13670.0,-13526.3,13953.51,0
251,14,7.0,44.0,20877,13732.0,-13587.68,13980.31,0
252,14,7.0,44.0,20896,13764.0,-13619.36,13993.04,0
253,14,7.0,44.0,20938,13832.0,-13686.68,14021.18,0
254,14,7.0,44.0,20957,13865.0,-13719.35,14033.91,0
255,14,7.0,43.0,20994,13924.0,-13777.76,14058.7,0
256,14,7.0,42.0,21014,13951.0,-13804.49,14072.1,0
257,14,7.0,40.0,21060,13999.0,-13852.01,14102.92,0
258,14,7.0,40.0,21079,14022.0,-13874.78,14115.65,0
259,14,7.0,44.0,21113,14066.0,-13918.34,14138.43,0
260,14,7.0,43.0,21130,14094.0,-13946.06,14149.82,0
261,14,7.0,43.0,21169,14144.0,-13995.56,14175.95,0
262,14,7.0,44.0,21187,14168.0,-14019.32,14188.01,1
263,14,7.0,43.0,21230,14227.0,-14077.73,14216.82,1
264,14,7.0,43.0,21299,14262.0,-14112.38,14263.050000000001,1
265,14,7.0,39.0,21328,14290.0,-14140.1,14282.48,1
266,14,7.0,43.0,21367,14335.0,-14184.65,14308.61,1
267,14,7.0,40.0,21387,14358.0,-14207.42,14322.01,1
268,14,7.0,43.0,21425,14398.0,-14247.02,14347.47,1
269,14,7.0,43.0,21443,14421.0,-14269.789999999999,14359.53,1
270,14,7.0,39.0,21481,14468.0,-14316.32,14384.99,1
271,14,7.0,43.0,21498,14490.0,-14338.1,14396.380000000001,1
272,14,7.0,42.0,21550,14539.0,-14386.61,14431.22,1
273,14,7.0,42.0,21568,14557.0,-14404.43,14443.28,1
274,14,7.0,42.0,21606,14593.0,-14440.07,14468.74,1
275,14,7.0,42.0,21691,14624.0,-14470.76,14525.69,1
276,14,7.0,43.0,21785,14667.0,-14513.33,14588.67,1
277,14,7.0,44.0,21802,14685.0,-14531.15,14600.06,1
278,14,7.0,44.0,21837,14714.0,-14559.86,14623.51,1
279,14,7.0,45.0,21877,14753.0,-14598.47,14650.31,1
280,14,7.0,44.0,21895,14769.0,-14614.31,14662.37,1
281,14,7.0,43.0,21941,14810.0,-14654.9,14693.19,1
282,14,7.0,42.0,21958,14826.0,-14670.74,14704.58,1
283,14,7.0,39.0,21990,14853.0,-14697.47,14726.02,1
284,14,7.0,39.0,22064,14872.0,-14716.28,14775.6,1
285,14,7.0,43.0,22110,14907.0,-14750.93,14806.42,1
286,14,7.0,42.0,22126,14924.0,-14767.76,14817.14,1
287,14,7.0,43.0,22158,14958.0,-14801.42,14838.58,1
288,14,7.0,42.0,22175,14973.0,-14816.27,14849.97,1
289,14,7.0,40.0,22206,15009.0,-14851.91,14870.74,1
290,14,7.0,43.0,22221,15028.0,-14870.72,14880.79,1
291,14,7.0,39.0,22252,15058.0,-14900.42,14901.56,1
292,14,7.0,43.0,22267,15074.0,-14916.26,14911.61,1
608,5,2.0,41.0,331,7.0,-4.43,219.69,0
609,5,2.0,38.0,434,7.0,-4.43,288.70000000000005,0
610,5,2.0,37.0,546,8.0,-5.42,363.74000000000007,0
611,5,2.0,30.0,649,8.0,-5.42,432.75000000000006,0
612,5,2.0,37.0,755,8.0,-5.42,503.77000000000004,0
613,5,2.0,33.0,857,8.0,-5.42,572.11,0
614,5,2.0,37.0,970,9.0,-6.41,647.82,0
615,5,2.0,41.0,1073,9.0,-6.41,716.83,0
616,5,2.0,36.0,1164,9.0,-6.41,777.8,0
617,5,2.0,38.0,1229,9.0,-6.41,821.35,0
618,5,2.0,39.0,1361,9.0,-6.41,909.79,0
619,5,2.0,33.0,1426,9.0,-6.41,953.34,0
620,5,2.0,33.0,1558,9.0,-6.41,1041.7800000000002,0
621,5,2.0,35.0,1622,9.0,-6.41,1084.66,0
622,5,2.0,36.0,1754,9.0,-6.41,1173.1000000000001,0
623,5,2.0,34.0,1818,9.0,-6.41,1215.9800000000002,0
624,5,2.0,32.0,1951,9.0,-6.41,1305.0900000000001,0
625,5,2.0,33.0,2014,9.0,-6.41,1347.3000000000002,0
626,5,2.0,31.0,2145,9.0,-6.41,1435.0700000000002,0
627,5,2.0,34.0,2214,9.0,-6.41,1481.3000000000002,0
628,5,2.0,33.0,2364,9.0,-6.41,1581.8000000000002,0
629,5,2.0,36.0,2437,9.0,-6.41,1630.7100000000003,0
630,5,2.0,34.0,2584,9.0,-6.41,1729.2000000000003,0
631,5,2.0,36.0,2660,9.0,-6.41,1780.1200000000001,0
632,5,2.0,30.0,2808,9.0,-6.41,1879.2800000000002,0
633,5,2.0,34.0,2883,9.0,-6.41,1929.5300000000002,0
634,5,2.0,35.0,3034,9.0,-6.41,2030.7000000000003,0
635,5,2.0,37.0,3110,9.0,-6.41,2081.6200000000003,0
636,5,2.0,35.0,3259,9.0,-6.41,2181.4500000000003,0
637,5,2.0,34.0,3335,9.0,-6.41,2232.3700000000003,0
638,5,2.0,36.0,3407,9.0,-6.41,2280.61,0
639,5,2.0,36.0,3557,9.0,-6.41,2381.11,0
640,5,2.0,33.0,3631,9.0,-6.41,2430.69,0
641,5,2.0,29.0,3785,9.0,-6.41,2533.8700000000003,0
642,5,2.0,31.0,3935,9.0,-6.41,2634.3700000000003,0
643,5,2.0,37.0,4010,9.0,-6.41,2684.6200000000003,0
644,5,2.0,30.0,4157,9.0,-6.41,2783.11,0
645,5,2.0,35.0,4231,9.0,-6.41,2832.69,0
646,5,2.0,35.0,4380,9.0,-6.41,2932.5200000000004,0
647,5,2.0,34.0,4455,9.0,-6.41,2982.7700000000004,0
648,5,2.0,36.0,4607,9.0,-6.41,3084.61,0
649,5,2.0,31.0,4681,9.0,-6.41,3134.19,0
650,5,2.0,35.0,4832,9.0,-6.41,3235.36,0
651,5,2.0,33.0,4906,9.0,-6.41,3284.94,0
652,5,2.0,31.0,5057,9.0,-6.41,3386.11,0
653,5,2.0,34.0,5131,9.0,-6.41,3435.69,0
654,5,2.0,34.0,5281,9.0,-6.41,3536.1900000000005,0
655,5,2.0,35.0,5357,9.0,-6.41,3587.11,0
656,5,2.0,30.0,5507,9.0,-6.41,3687.61,0
657,5,2.0,32.0,5583,9.0,-6.41,3738.53,0
658,5,2.0,35.0,5732,9.0,-6.41,3838.36,0
659,5,2.0,37.0,5809,9.0,-6.41,3889.9500000000003,0
660,5,2.0,38.0,5957,9.0,-6.41,3989.11,0
661,5,2.0,36.0,6035,9.0,-6.41,4041.3700000000003,0
662,5,2.0,34.0,6182,9.0,-6.41,4139.860000000001,0
663,5,2.0,35.0,6259,9.0,-6.41,4191.450000000001,0
664,5,2.0,35.0,6407,9.0,-6.41,4290.610000000001,0
665,5,2.0,36.0,6484,9.0,-6.41,4342.200000000001,0
